,,,,,,,,,
OCLC Number,Title,Author Name,Publisher Name,Publication Date,Title ISSN,Title eISSN,Conspectus Subject,Material Subformat,URL
1306539860,"Atlas der Datenkörper 1 :Körperbilder in Kunst, Design und Wissenschaft im Zeitalter digitaler Medien /","Bart, Marlene,Bart, Marlene,Bencicova, Evelyn,Blasius, Clara Maria,Breuer, Johannes,Breuer, Johannes,Demnard, Joris,Esther, Arielle,Farfán, Vanessa,Freier, Alex Leo,Freier, Alex Leo,Held, Tobias,Holzheu, Stefanie,Lee, Sang,Moses, Gabriel S,Richter, Fabian,Rückeis, Julia,Rünker, Maximilian,Spång, Fanny,Swanson, Tabitha,Thurow, Katharina,Toland, Alexandra,","transcript Verlag,",2022,N/A,N/A, Computer Art. Digital Art,EBOOKS,https://libswu.on.worldcat.org/oclc/1306539860
1482827342,"Urban Screens :Situations, Practices, Concepts.","Verhoeff, Nanna.","Amsterdam University Press,",2024,N/A,N/A, Computer Art. Digital Art,EBOOKS,https://libswu.on.worldcat.org/oclc/1482827342
1579000664,Six critical lenses on AI-generated images /,"Bouko, Catherine,Laba, Nataliia,","CRC Press,",2026,N/A,N/A, Computer Art. Digital Art,EBOOKS,https://libswu.on.worldcat.org/oclc/1579000664
19901592,Dr. Dobb's journal :software tools for the professional programmer.,N/A,"M & T Pub.,",1989,1044-789X,N/A," Digital Computers, General",N/A,https://libswu.on.worldcat.org/oclc/19901592
38172045,"Software, practice & experience.",Wiley InterScience (Online service),John Wiley & Sons,1971,N/A,1097-024X," Digital Computers, General",EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/38172045
39975951,Numerische Mathematik.,N/A,"Springer-Verlag Heidelberg,",1959,N/A,0945-3245," Digital Computers, General",EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/39975951
40095711,The international journal of high performance computing applications.,N/A,Sage Publications,1998,N/A,1741-2846," Digital Computers, General",EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/40095711
46682272,Personal and ubiquitous computing.,N/A,"Springer-Verlag,",2001,N/A,1617-4917," Digital Computers, General",EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/46682272
47876599,"IJCNN, International Joint Conference on Neural Networks :Sheraton Washington Hotel.",International Joint Conference on Neural Networks; Institute of Electrical and Electronics Engineers.International Neural Network Society.,"IEEE TAB Neural Network Conference ;Order from IEEE Service Center,",1989,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/47876599
47880509,"WMCSA '99 :Second IEEE Workshop on Mobile Computing Systems and Applications, February 25-26, 1999, New Orleans, Louisiana : proceedings /",IEEE Workshop on Mobile Computing Systems and Applications; IEEE Computer Society.IEEE Computer Society.,"IEEE Computer Society,",1999,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/47880509
47880729,"COMPEURO'90 :proceedings of the 1990 IEEE International Conference on Computer Systems and Software Engineering, May 8-10, 1990, Tel-Aviv, Israel /",Comp Euro; Institute of Electrical and Electronics Engineers.,"IEEE Computer Society Press,",1990,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/47880729
47881053,"1990 Winter Simulation Conference proceedings :2-12 December, 1990, the Fairmont Hotel, New Orleans, Louisiana /","Winter Simulation Conference; Balci, Osman.Sadowski, Randall P.Nance, Richard E.; American Statistical Association.","Association for Computing Machinery,",1990,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/47881053
47881258,"Digest of papers :the Twenty-First International Symposium on Fault-Tolerant Computing, June 25-27, 1991, Montréal, Canada /",International Symposium on Fault-Tolerant Computing; IEEE Computer Society.,"IEEE Computer Society Press,",1991,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/47881258
47882141,"CompEuro 1992 proceedings :computer systems and software engineering, May 4-8, 1992, the Netherlands /","Comp Euro; Dewilde, P.Vandewalle, J.; IEEE Computer Society.Institute of Electrical and Electronics Engineers.IEEE Benelux.","IEEE Computer Society Press,",1992,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/47882141
49830287,"Proceedings :Third International Conference on Mobile Data Management : 8-11 January 2002, Singapore.",International Conference on Mobile Data Management; IEEE Computer Society.,"IEEE Computer Society,",2002,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/49830287
51305256,"Proceedings of the 27th International Symposium on Computer Architecture :June 12-14, 2000, Vancouver, British Columbia /",International Symposium on Computer Architecture; IEEE Computer Society.Association for Computing Machinery.ACM Digital Library.,"Association for Computing Machinery,",2000,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/51305256
52223783,"Proceedings of the First IEEE International Conference on Pervasive Computing and Communications :(PerCom 2003) : Fort Worth, Texas, 23-26 March 2003 /",IEEE International Conference on Pervasive Computing and Communications; IEEE Computer Society.University of Texas at Arlington.,"IEEE,",2003,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/52223783
52578358,Computing information technology :the human side /,"Gordon, Steven R.","IRM Press,",2003,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/52578358
52751718,GPRS :gateway to third generation mobile networks /,"Heine, Gunnar.; Sagkob, Holger.","Artech House,",2003,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/52751718
52816712,"Fifth International Symposium on Wearable Computers :proceedings : 8-9 October, 2001, Zürich, Switzerland /",International Symposium on Wearable Computers; IEEE Computer Society.,"IEEE Computer Society,",2001,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/52816712
52995451,"Sixth International Symposium on Wearable Computers (ISWC 2002) :proceedings : 7-10 October, 2002, Seattle, Washington /",International Symposium on Wearable Computers; IEEE Computer Society.,"IEEE Computer Society,",2002,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/52995451
53292246,"29th Annual International Symposium on Computer Architecture :proceedings : 25-29 May, 2002, Anchorage, Alaska /",International Symposium on Computer Architecture; IEEE Computer Society.Sigarch.,"IEEE Computer Society,",2002,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/53292246
53438128,"Proceedings of the 2002 Winter Simulation Conference :Manchester Grand Hyatt San Diego, San Diego, CA, U.S.A., December 8-11, 2002 /","Winter Simulation Conference; Yücesan, Enver.; Association for Computing Machinery.Institute of Electrical and Electronics Engineers.","Association for Computing Machinery ;IEEE,",2002,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/53438128
55976831,"31st Annual International Symposium on Computer Architecture :proceedings : München, Germany, June 19-23, 2004 /",International Symposium on Computer Architecture; IEEE Computer Society.,"IEEE Computer Society,",2004,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/55976831
56344457,Location-based services /,"Schiller, Jochen H.Voisard, Agnès.","Morgan Kaufmann Publishers,",2004,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/56344457
57229563,"ISWC 2004 :Eighth International Symposium on Wearable Computers : proceedings : 31 October-3 November, 2004, Arlington, Virginia /",International Symposium on Wearable Computers; IEEE Computer Society.,"IEEE Computer Society,",2004,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/57229563
58547406,"Third IEEE International Conference on Pervasive Computing and Communications Workshops :proceedings : PerCom 2005 Workshops : Kauai Island, Hawaii, 8-12 March, 2005 /",IEEE International Conference on Pervasive Computing and Communications; IEEE Computer Society.University of Texas at Arlington.,"IEEE Computer Society,",2005,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/58547406
58548768,"Third IEEE International Conference on Pervasive Computing and Communications :PerCom 2005 : proceedings : 8-12 March 2005, Kauai Island, Hawaii /",IEEE International Conference on Pervasive Computing and Communications; IEEE Computer Society.University of Texas at Arlington.,"IEEE Computer Society,",2005,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/58548768
62294877,Location-based services :fundamentals and operation /,"Küpper, Axel.","John Wiley,",2005,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/62294877
62773602,"Ninth IEEE International Symposium on Wearable Computers :proceedings : Osaka, Japan : October 18-21, 2005 /",International Symposium on Wearable Computers; IEEE Computer Society.,"IEEE Computer Society,",2005,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/62773602
71376859,"MDM 2006 Japan :7th International Conference on mobile data management : May 10-12, 2006, Nara, Japan.",IEEE International Conference on Mobile Data Management,"IEEE Computer Society,",2006,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/71376859
71487079,"Proceedings, Seventh IEEE International Conference on Engineering of Complex Computer Systems :Skhovde, Sweden, June 11-13, 2001 /","IEEE International Conference on Engineering of Complex Computer Systems; Andler, Sten F.,Hinchey, Michael G.Offutt, Jeff,; IEEE Computer Society.IEEE Computer Society.","IEEE,",2001,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/71487079
71493424,"Proceedings : second IEEE Annual Conference on Pervasive Computing and Communications Workshops :Orlando, Florida, March 14-17, 2004 /",IEEE International Conference on Pervasive Computing and Communications.; University of Texas at Arlington.IEEE Computer Society.,"[IEEE],",2004,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/71493424
73397703,"Second International Workshop on Security, Privacy, and Trust in Pervasive and Ubiquitous Computing :SecPerU 2006 : proceedings : 29 June 2006, Lyon, France /","International Workshop on Security, Privacy, and Trust in Pervasive and Ubiquitous Computing; Georgiadis, P.López, JavierGritzalis, Stefanos.Marias, G. F.; IEEE Computer Society.","IEEE Computer Society,",2006,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/73397703
133144636,"Fifth annual IEEE International Conference on Pervasive Computing and Communications :PerCom 2007, 19-23 March, 2007, White Plains, New York, USA /",IEEE International Conference on Pervasive Computing and Communications; IEEE Computer Society.Institute of Electrical and Electronics Engineers.,"IEEE Computer Society,",2007,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/133144636
161399414,"2007 IEEE International Conference on Portable Information Devices :Orlando, Florida, 25-29 March 2007 : IEEE PORTABLE 2007.",IEEE International Conference on Portable Information Devices,"IEEE,",2007,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/161399414
163568563,"Proceedings, Third International Workshop on Security, Privacy and Trust in Pervasive and Ubiquitous Computing :SecPerU 2007 : 19 July, 2007, Istanbul, Turkey /","International Workshop on Security, Privacy, and Trust in Pervasive and Ubiquitous Computing; Georgiadis, P.","IEEE Computer Society,",2007,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/163568563
173819178,Advancing into the 21st century /,"Zelkowitz, Marvin V.,","Acad. Press,",2000,N/A,N/A," Digital Computers, General",EBOOKS,https://libswu.on.worldcat.org/oclc/173819178
