,,,,,,,,,
OCLC Number,Title,Author Name,Publisher Name,Publication Date,Title ISSN,Title eISSN,Conspectus Subject,Material Subformat,URL
44210267,Sociology of Education.,N/A,JSTOR.,,N/A,1939-8573, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/44210267
44463440,Educational psychology review.,N/A,"Plenum Publishing Corp.,",1989,N/A,1573-336X, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/44463440
47766569,Journal of behavioral education.,"Singh, Nirbhay N.","Human Sciences Press, Inc.,Kluwer Academic-Plenum-Human Sciences PressSpringer Science and Business Media, Inc.",1991,N/A,1573-3513, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/47766569
52593050,The brain-compatible classroom :using what we know about learning to improve teaching /,"Erlauer, Laura,","Association for Supervision and Curriculum Development,",2003,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/52593050
52743484,Handbook of psychology.,"Reynolds, William Michael,Miller, Gloria E.Weiner, Irving B.","Wiley,",2003,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/52743484
53016886,The future of learning :issues and prospects /,"Tokoro, Mario,Steels, Luc.","IOS Press ;Ohmsha,",2003,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/53016886
53337527,Psychology of education :major themes.,"Smith, Peter K.Pellegrini, Anthony D.","Routledge/Falmer,",2003,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/53337527
53882375,"School phobia, panic attacks, and anxiety in children /","Csóti, Márianna.","J. Kingsley Publishers,",2003,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/53882375
54662872,The RoutledgeFalmer reader in psychology of education /,"Daniels, Harry,Edwards, Anne,","RoutledgeFalmer,",2004,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/54662872
55490206,The theory & practice of learning /,"Jarvis, Peter,; Holford, John.Griffin, Colin.","Kogan Page,",2003,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/55490206
60626854,Canadian journal of school psychology,"Canadian Association of School Psychologists,",Sage Publications,1985,N/A,2154-3984, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/60626854
60627131,European journal of psychology of education =Journal européen de psychologie de l'education.,"ISPA (Lisbon, Portugal),","I.S.P.A./Instituto Superior de Psicologia Aplicada,Springer",1986,N/A,1878-5174, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/60627131
190583922,The Cambridge handbook of the learning sciences /,"Sawyer, R. Keith","Cambridge University Press,",2006,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/190583922
228071650,Encyclopedia of educational psychology /,"Salkind, Neil J.,Rasmussen, Kristin,","Sage Publications,",2008,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/228071650
297115598,Transforming learning and teaching :'we can if ... ' /,"MacGilchrist, Barbara.; Buttress, Margaret.","Paul Chapman Pub. ;Sage Publications,",2005,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/297115598
297448221,Learning power in practice :a guide for teachers /,"Deakin Crick, Ruth,","Paul Chapman,",2006,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/297448221
297527406,Using support groups to improve behaviour /,"Mowat, Joan.","Paul Chapman,",2007,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/297527406
297540173,Motivating your team :coaching for performance in schools /,"Taylor, Peter R.","Paul Chapman,",2007,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/297540173
297548347,How to teach thinking and learning skills :a practical programme for the whole school /,"Simister, C. J.","PCP/Sage,",2007,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/297548347
297555474,Developing the emotionally literate school /,"Weare, Katherine,","Paul Chapman Pub.,",2004,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/297555474
325354069,Good choices :teaching young people aged 8 to 11 to make positive decisions about their own lives /,"Rae, Tina.","Paul Chapman Pub.,",2006,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/325354069
326878034,Effective learning in classrooms /,"Watkins, Chris.; Carnell, Eileen.Lodge, Caroline.","Paul Chapman Pub.,",2007,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/326878034
326878636,Mighty motivators :a resource bank for setting targets and rewarding pupil progress for 5 to 11 year olds /,"Moore, Claire.; Rae, Tina.","Paul Chapman Pub.,",2005,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/326878636
435662071,Educational and child psychology /,British Psychological Society.,"British Psychological Society,",1984,N/A,2396-8702, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/435662071
436044386,Learning styles and inclusion /,"Reid, Gavin,","Paul Chapman Pub. ;SAGE Publications,",2005,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/436044386
536270624,Storytimes with a Combination of Props.,"Faurot, Kimberly K.","ALA Editions,",2003,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/536270624
536270629,Storytimes with Finger Puppets.,"Faurot, Kimberly K.","ALA Editions,",2003,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/536270629
536270630,Storytimes with Flannel and Felt Boards.,"Faurot, Kimberly K.","ALA Editions,",2003,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/536270630
564291597,Journal of instructional psychology.,N/A,[V-U Pub. Co.],1974,N/A,N/A, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/564291597
578666014,The importance of average :playing the game of school to increase success and achievement /,"Farenga, Stephen J.,","Rowman & Littlefield Publishers,",2010,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/578666014
606348769,School culture /,"Prosser, Jon,","Paul Chapman Pub.,",1999,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/606348769
607526328,Supporting effective learning /,"Carnell, Eileen.; Lodge, Caroline.","Paul Chapman ;Sage,",2002,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/607526328
607892335,Young children learning /,"David, Tricia,","P. Chapman Pub. ;Sage Publications,",1999,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/607892335
613207017,"Innovations in educational psychology :perspectives on learning, teaching, and human development /","Preiss, David,Sternberg, Robert J.","Springer Pub.,",2010,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/613207017
646069567,Cognitive load theory /,"Plass, Jan L.Moreno, Roxana.Brünken, Roland,","Cambridge University Press,",2010,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/646069567
646573810,Learning with the brain in mind /,"McNeil, Frank,","SAGE,",2009,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/646573810
646806914,Motivating learners in the classroom :ideas and strategies /,"Reid, Gavin,","P. Chapman Pub.,",2007,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/646806914
648793319,Magic circles :self-esteem for everyone in circle time /,"White, Murray.","Sage,",2009,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/648793319
669336190,Transfer of learning :contemporary research and applications /,"Cormier, Stephen M.Hagman, Joseph D.","Academic Press,",1987,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/669336190
676786767,European journal of education and psychology.,Editorial CENFINT.,Editorial CENFINT,2008,N/A,1989-2209, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/676786767
680758058,After the information age :a dynamic learning manifesto /,"Marcum, James W.,","Peter Lang,",2006,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/680758058
681204009,"Image, inquiry, and transformative practice :engaging learners in creative and critical inquiry through visual representation /","Bustle, Lynn S.","P. Lang,",2003,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/681204009
683678582,Educational psychology :an application of critical constructivism /,"Goodman, Greg S.,","P. Lang,",2008,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/683678582
698103793,Motivating your secondary class /,"Galton, Maurice J.; Steward, Susan.","SAGE,",2009,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/698103793
712621303,Multiple intelligences and instructional technology /,"McKenzie, Walter.","International Society for Technology in Education,",2005,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/712621303
727649302,"Teaching Kids to Love Learning, Not Just Endure It.","Connolly, Michael.","Rowman & Littlefield Pub. Group,",2011,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/727649302
732957558,Understanding poverty in the classroom :changing perceptions for student success /,"Templeton, Beth Lindsay,","Rowman & Littlefield Education,",2011,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/732957558
746939909,Statement by the President Regarding Occurrences at Central High School in Little Rock.,N/A,Great Neck Publishing.,,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/746939909
764572602,Assessment for learning in the Early Years Foundation Stage.,"Glazzard, Jonathan.; Chadwick, Denise.Webster, Anne.Percival, Julie.","Sage Publications,",2010,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/764572602
764574163,Motivating Every Learner.,"McLean, Alan.","Sage Publications,",2009,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/764574163
779621924,Learning and performance quarterly.,University of North Texas.,"Center for Knowledge Solutions, Dept. of Learning Technologies, University of North Texas",2012,N/A,2166-3564, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/779621924
779658515,Journal of school psychology.,Society for the Study of School Psychology.ScienceDirect (Online service),Pergamon.,1963,N/A,0022-4405, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/779658515
779660273,Contemporary educational psychology.,Ingenta (Firm : 1998-2007)ScienceDirect (Online service),Academic Press.,1976,N/A,"0361-476X,1090-2384", Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/779660273
782074113,Issues in education.,N/A,"JAI Press,",1995,N/A,1080-9724, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/782074113
782076675,Australian journal of educational & developmental psychology.,N/A,"University of Newcastle, Australia,",2001,N/A,1446-5442, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/782076675
793519691,Cultural foundations of learning :East and West /,"Li, Jin,","Cambridge University Press,",2012,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/793519691
795123440,"Enhancing the quality of learning :dispositions, instruction, and learning processes /","Kirby, John R.,Lawson, Michael J.","Cambridge University Press,",2012,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/795123440
795952729,Journal of instructional psychology.,N/A,Educational Innovations.,1990,N/A,0094-1956, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/795952729
795953397,Multicultural education.,N/A,Caddo Gap Press.,2005,N/A,1068-3844, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/795953397
795953849,School community journal.,N/A,Academic Development Institute.,2005,N/A,1059-308X, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/795953849
797814436,The motivated school /,"Mclean, Alan.","Sage,",2003,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/797814436
797818197,Young children's creative thinking /,"Fumoto, Hiroko.","SAGE,",2012,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/797818197
802693823,Using Psychology in the Classroom.,N/A,SAGE Publications Ltd,2012,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/802693823
806032986,Promoting academic achievement among English learners :a guide to the research /,"Goldenberg, Claude,; Coleman, Rhoda.","Corwin,",2010,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/806032986
806059182,50 ways to close the achievement gap /,"Downey, Carolyn J.","Corwin Press,",2009,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/806059182
808343974,The educator's handbook for understanding and closing achievement gaps /,"Murphy, Joseph,","Corwin,",2010,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/808343974
809967591,Supporting children's learning :a guide for teaching assistants.,"Overall, Lyn.","SAGE,",2007,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/809967591
809969563,Resolving behaviour problems in your school :a practical guide for teachers and support staff.,"Lee, Chris,","Paul Chapman,",2007,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/809969563
812131629,Educational Psychology: Disrupting the Dominant Discourse.,N/A,"Peter Lang Publishing, Inc.",,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/812131629
812152810,Multiple Intelligences: New Horizons in Theory & Practice.,N/A,"Perseus Books, LLC.",,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/812152810
813215974,Becoming an emotionally intelligent teacher /,"Powell, William R.; Kusuma-Powell, Ochan.","Corwin,",2010,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/813215974
839302736,Intentional teaching :the let me learn classroom in action /,"Dawkins, Bonnie U.; Kottkamp, Robert B.Johnston, Christine A.","Corwin Press,",2010,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/839302736
840404160,We're born to learn :using the brain's natural learning process to create today's curriculum /,"Smilkstein, Rita.","Corwin Press,",2011,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/840404160
841479426,Psychiatric disorders :current topics and interventions for educators.,"McCabe, Paul C.Shaw, Steven R.; National Association of School Psychologists.","Corwin,",2010,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/841479426
842851688,Instructional Leader and the Brain :Using Neuroscience to Inform Practice.,"Glick, Margaret C.","Corwin,",2011,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/842851688
858010472,International journal of education and psychology in the community.,Universitatea din Oradea.,"Editura Universitatii din Oradea,",2011,N/A,N/A, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/858010472
859157533,Powerful learning environments and theologizing and philosophizing with children /,"Conference of Powerful Learning Environments & Theologizing and Philosophizing with Children; Kuindersma, Henk,","Kassel University Press,",2013,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/859157533
865102525,Eine relationale Perspektive auf Lernen :Ontologische Hintergrundsannahmen in lerntheoretischen Konzeptualisierungen des Menschen und von Sozialität /,"Schaller, Franz,","Budrich Verlag,",2012,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/865102525
869282227,Accelerating student and staff learning :purposeful curriculum collaboration /,"Psencik, Kay.","Corwin Press,",2009,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/869282227
869282281,Begin with the brain :orchestrating the learner-centered classroom /,"Kaufeldt, Martha,Kaufeldt, Martha,","Corwin Press,",2010,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/869282281
870998536,Revista española de orientación y psicopedagogía.,Asociación española de orientación y psicopedagogía.,Universidad Nacional de Educacion a Distancia (UNED),2000,N/A,1989-7448, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/870998536
871646012,Social and emotional learning :a critical appraisal /,"Humphrey, Neil","SAGE,",2013,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/871646012
875894830,Engaging every learner /,"Blankstein, Alan M.,Cole, Robert W.,Houston, Paul D.","Corwin Press :Hope Foundation :American Association of School Administrators :National Association Of Elementary School Principals,",2007,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/875894830
875894873,Difficult behavior in early childhood :positive discipline for PreK-3 classrooms and beyond /,"Mah, Ronald.","Corwin Press,",2007,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/875894873
908100730,Partnering wth students :building ownership of learning /,"O'Connell, Mary Jane,; Vandas, Kara L.,","Corwin, A SAGE Company,",2015,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/908100730
927140724,The SAGE handbook of learning /,"Scott, David,Hargreaves, Eleanore,","Sage Reference,",2015,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/927140724
929952099,"Emotions, technology, and learning /","Tettegah, Sharon Y.,McCreery, Michael P.,","Elsevier,",2016,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/929952099
935922284,The psychology of learning and motivation.,"Ross, Brian H.,","Academic Press,",2016,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/935922284
938434835,Reflections on the learning sciences /,"Evans, Michael A.,Packer, Martin J.,Sawyer, R. Keith,","Cambridge University Press,",2015,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/938434835
942681947,Psicología Educativa.,"Colegio Oficial de Psicólogos de Madrid,","Colegio Oficial de la Psicología de Madrid,",1995,N/A,2174-0526, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/942681947
950710354,"Gut - besser - exzellent?Qualität von Forschung, Lehre und Studium entwickeln",Gewerkschaft Erziehung und Wissenschaft (GEW),W. Bertelsmann Verlag,2012,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/950710354
958503335,Fifteen Positive Behavior Strategies to Increase Academic Success.,"Johns, Beverley H. (Holden)","SAGE Publications,",2014,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/958503335
958683494,Propósitos y representaciones.,"Universidad San Ignacio de Loyola,","Universidad San Ignacio de Loyola,",2013,N/A,2310-4635, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/958683494
972073198,Berufliche Passagen im Lebenslauf :Berufsbildungs- und Transitionsforschung in der Schweiz /,"Häfeli, Kurt,Neuenschwander, Markus P.,Schumann, Stephan,","Springer Fachmedien Wiesbaden :Imprint :Springer VS,",2015,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/972073198
974497829,"Tools for teaching conceptual understanding, secondary :designing lessons and assessments for deep learning /","Stern, Julie Harris,; Ferraro, Krista Fantin,Mohnkern, Juliet,","Corwin,",2017,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/974497829
986544683,Motivation to learn :transforming classroom culture to support student achievement /,"Middleton, Michael; Perks, Kevin,","Corwin,",2016,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/986544683
986707701,Eight myths of student disengagement :creating classrooms of deep learning /,"Fredricks, Jennifer A.,","Corwin,",2016,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/986707701
988823973,The international journal of learning.,N/A,Common Ground Publishing,2012,N/A,1447-9540, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/988823973
1012121280,The Learning Power Approach :Teaching Learners to Teach Themselves /,"Claxton, Guy,","Corwin,",2017,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/1012121280
1013726893,Creativity in primary education /,"Wilson, Anthony,","SAGE ;Learning Matters,",2015,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/1013726893
1046090677,European Journal of Psychology of Education EJPE,N/A,Instituto Superior de Psicologia Aplicada.,,N/A,0256-2928, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/1046090677
1052411133,Learning :Principles and Applications /,"Klein, Stephen B.,","SAGE Publications, Inc,",2018,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/1052411133
1058111631,Communiqué.,National Association of School Psychologists (U.S.),National Association of School Psychologists.,1970,N/A,0164-775X, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/1058111631
1058362850,Learning and individual differences.,N/A,"JAI Press,",1989,N/A,1041-6080, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/1058362850
1066380745,DECP debate.,British Psychological Society.,"Division of Educational and Child Psychology of the British Psychological Society,",2001,N/A,2396-8680, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/1066380745
1066741787,Reflective practice for renewing schools :an action guide for educators /,"York-Barr, Jennifer,; Sommers, William A.,Ghere, Gail S.,Montie, Jo,Costa, Arthur L.,","Corwin,",2016,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/1066741787
1082202740,"Goals, goal structures, and patterns of adaptive learning /","Midgley, Carol.","Routledge,",2012,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/1082202740
1085491001,Soziale Beziehungen und Leistungsmotivation :die Bedeutung von Bezugspersonen für die längerfristige Aufrechterhaltung der Lern- und Leistungsmotivation /,"Looser, Dölf,","Budrich UniPress Ltd,",2011,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/1085491001
1087349691,Just stop and think! :helping children plan to improve their own behaviour /,"Wallace, Fiona.","Paul Chapman,",2007,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/1087349691
1090300923,Start with the heart :igniting hope in schools through social and emotional learning /,"Trujillo, Michelle L.,","Corwin,",2019,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/1090300923
1100767367,Computational thinking education /,"Kong, Siu Cheung,Abelson, Harold,","Springer,",2019,N/A,N/A, Educational Psychology,EBOOKS,https://libswu.on.worldcat.org/oclc/1100767367
